Date (dd-mm-yyyy hh:mm UTC),X Position (m),Y Position (m),Z Position (m),Beacon Name,5% MaxDtrRange (m),AveDtrRangeDeltaFrom3DPos (m),Total Vertical Movement (m) (from initial calculated pos),Ave Vertical Velocity (mm/s),Interpolation,90% Interval X +/- (m),90% Interval Y +/- (m),90% Interval Z +/- (m)
04/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
07/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
10/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
13/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
16/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
19/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
22/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
25/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
28/04/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
01/05/2022 12:30,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
04/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
07/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
10/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
13/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
16/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
19/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
22/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
25/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,1,4.57,6.62,8.77
28/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,1,4.57,6.62,8.77
31/05/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
03/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
06/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
09/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
12/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
15/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
18/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
21/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
24/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
27/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
30/06/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
03/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
06/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
09/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
12/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
15/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
18/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
21/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
24/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
27/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
30/07/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
02/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
05/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
08/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
11/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
14/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
17/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
20/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
23/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
26/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.59,2.61,4.64
29/08/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,1,4.57,6.62,8.77
01/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
04/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
07/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
10/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
13/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
16/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
19/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
22/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
25/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
28/09/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
01/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
04/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
07/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
10/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
13/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
16/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
19/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
22/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
25/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.57,6.62,8.77
28/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
31/10/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
03/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
06/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
09/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
12/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
15/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
18/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
21/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
24/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
27/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
30/11/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
03/12/2022 12:29,87839.7,43433.2,4479.5,bcn_EN19,7.2,0.0,0.0,0.0000,0,4.52,2.61,4.01
04/04/2022 01:30,87837.9,43413.7,4479.6,bcn_EN0T,7.6,0.0,0.0,0.0000,0,6.40,6.60,10.37
07/04/2022 01:30,87837.9,43413.7,4479.6,bcn_EN0T,7.6,0.0,0.0,0.0000,0,6.40,6.60,10.37
10/04/2022 01:30,87837.9,43413.7,4479.6,bcn_EN0T,7.6,0.0,0.0,0.0000,0,6.40,6.60,10.37
13/04/2022 01:30,87837.9,43413.7,4479.6,bcn_EN0T,7.6,0.0,0.0,0.0000,0,6.40,6.60,10.37
16/04/2022 01:30,87837.9,43413.7,4479.6,bcn_EN0T,7.6,0.0,0.0,0.0000,0,6.40,6.60,10.37
19/04/2022 01:30,87837.9,43413.7,4479.6,bcn_EN0T,7.6,0.0,0.0,0.0000,1,6.40,6.60,10.37
